Date,Close
7/13/2022,323.37
7/14/2022,325.03
7/15/2022,332.57
7/18/2022,331.01
7/19/2022,340.38
7/20/2022,341.27
7/21/2022,346.92
7/22/2022,343.88
7/25/2022,344.21
7/26/2022,341.28
7/27/2022,343.27
7/28/2022,352.45
7/29/2022,353.79
8/1/2022,350.54
8/2/2022,349.01
8/3/2022,354.13
8/4/2022,356.07
8/5/2022,357.51
8/8/2022,352.16
8/9/2022,346.54
8/10/2022,353.38
8/11/2022,350.58
8/12/2022,354.27
8/15/2022,359.95
8/16/2022,359.25
8/17/2022,355.33
8/18/2022,357.36
8/19/2022,354.28
8/22/2022,345.51
8/23/2022,340.89
8/24/2022,339.71
8/25/2022,344.67
8/26/2022,331.96
8/29/2022,329.35
8/30/2022,327.81
8/31/2022,324.37
9/1/2022,325.25
9/2/2022,322.56
9/6/2022,324.08
9/7/2022,328.62
9/8/2022,330.07
9/9/2022,335.85
9/12/2022,338.42
9/13/2022,325.44
9/14/2022,325.85
9/15/2022,316.96
9/16/2022,315.13
9/19/2022,314.03
9/20/2022,313.27
9/21/2022,304.5
9/22/2022,298.36
9/23/2022,293.58
9/26/2022,290.11
9/27/2022,286.48
9/28/2022,290.18
9/29/2022,286.77
9/30/2022,284.34
10/3/2022,290.48
10/4/2022,301.27
10/5/2022,304.2
10/6/2022,299.23
10/7/2022,294.97
10/10/2022,291.78
10/11/2022,286.05
10/12/2022,283.38
10/13/2022,293.96
10/14/2022,288.69
10/17/2022,295.04
10/18/2022,300.38
10/19/2022,297.76
10/20/2022,296.28
10/21/2022,302.37
10/24/2022,305.6
10/25/2022,311.41
10/26/2022,319.51
10/27/2022,319.37
10/28/2022,329.47
10/31/2022,328.18
11/1/2022,333.19
11/2/2022,319.82
11/3/2022,309.17
11/4/2022,318.37
11/7/2022,325.13
11/8/2022,325.75
11/9/2022,315.64
11/10/2022,337.27
11/11/2022,339.29
11/14/2022,339.37
11/15/2022,343.51
11/16/2022,342.76
11/17/2022,341.27
11/18/2022,343.69
11/21/2022,338.25
11/22/2022,344.96
11/23/2022,348.64
11/25/2022,351.29
11/28/2022,344.59
11/29/2022,343.13
11/30/2022,356.4
12/1/2022,360.8
12/2/2022,360.06
12/5/2022,356.09
12/6/2022,347.53
12/7/2022,347.42
12/8/2022,351.17
12/9/2022,348.83
12/12/2022,358.17
12/13/2022,357.15
12/14/2022,357.51
12/15/2022,346.25
12/16/2022,345.84
12/19/2022,341.26
12/20/2022,342.95
12/21/2022,345.69
12/22/2022,341.52
12/23/2022,343.6
12/27/2022,346.16
12/28/2022,341.95
12/29/2022,348.21
12/30/2022,347.73
1/3/2023,346.8
1/4/2023,355.15
1/5/2023,351.77
1/6/2023,367.67
1/9/2023,370.97
1/10/2023,371.01
1/11/2023,377.86
1/12/2023,379.81
1/13/2023,375.52
1/17/2023,375
1/18/2023,368.92
1/19/2023,367.94
1/20/2023,376.28
1/23/2023,378.57
1/24/2023,380.01
1/25/2023,382.39
1/26/2023,377.24
1/27/2023,374.03
1/30/2023,371.12
1/31/2023,370.6
2/1/2023,374.08
2/2/2023,374.94
2/3/2023,373.91
2/6/2023,372.97
2/7/2023,375.06
2/8/2023,370.35
2/9/2023,370.42
2/10/2023,366.83
2/13/2023,370.83
2/14/2023,369.96
2/15/2023,369.64
2/16/2023,367.55
2/17/2023,361.13
2/21/2023,355.96
2/22/2023,354.97
2/23/2023,355.53
2/24/2023,353.12
2/27/2023,355.48
2/28/2023,355.29
3/1/2023,353.5
3/2/2023,355.57
3/3/2023,361.5
3/6/2023,366.93
3/7/2023,359.94
3/8/2023,359.03
3/9/2023,354.44
3/10/2023,347.11
3/13/2023,344.71
3/14/2023,352.82
3/15/2023,348.08
3/16/2023,348
3/17/2023,349.66
3/20/2023,349.32
3/21/2023,354.57
3/22/2023,351.03
3/23/2023,354.37
3/24/2023,351.63
3/27/2023,354.62
3/28/2023,354.33
3/29/2023,359.53
3/30/2023,359.26
3/31/2023,363.41
4/3/2023,366.47
4/4/2023,363.9
4/5/2023,363.79
4/6/2023,361.47
4/10/2023,360.14
4/11/2023,364.13
4/12/2023,361.78
4/13/2023,369.65
4/14/2023,372.43
4/17/2023,372.76
4/18/2023,372.32
4/19/2023,372.8
4/20/2023,375
4/21/2023,375.24
4/24/2023,374.73
4/25/2023,368.53
4/26/2023,366.76
4/27/2023,373.67
4/28/2023,380.03
5/1/2023,379.86
5/2/2023,376.03
5/3/2023,374.9
5/4/2023,376.12
5/5/2023,384.66
5/8/2023,385.51
5/9/2023,382.94
5/10/2023,382.54
5/11/2023,383.39
5/12/2023,381.92
5/15/2023,383.41
5/16/2023,380.24
5/17/2023,387
5/18/2023,392.02
5/19/2023,385.57
5/22/2023,384.53
5/23/2023,373.75
5/24/2023,368.5
5/25/2023,370.04
5/26/2023,374.37
5/30/2023,367.5
5/31/2023,365.02
6/1/2023,370.88
6/2/2023,373.73
6/5/2023,370.52
6/6/2023,379.96
6/7/2023,371.39
6/8/2023,367.59
6/9/2023,369.22
6/12/2023,375.31
6/13/2023,371.38
6/14/2023,374.76
6/15/2023,379.04
6/16/2023,376.53
6/20/2023,374.62
6/21/2023,376.14
6/22/2023,377.8
6/23/2023,379.81
6/26/2023,377.42
6/27/2023,381.79
6/28/2023,380.23
6/29/2023,387.67
6/30/2023,393.3
7/3/2023,393.96
7/5/2023,394.73
7/6/2023,393.14
7/7/2023,388.68
7/10/2023,392.16
7/11/2023,397.8
7/12/2023,400.69
7/13/2023,400.56
