Date,Close
7/13/2022,111.91
7/14/2022,108
7/15/2022,112.95
7/18/2022,111.79
7/19/2022,114.56
7/20/2022,114.54
7/21/2022,115.32
7/22/2022,114.76
7/25/2022,115.22
7/26/2022,113.42
7/27/2022,115.24
7/28/2022,114.81
7/29/2022,115.36
8/1/2022,114.21
8/2/2022,112.43
8/3/2022,113.61
8/4/2022,112.36
8/5/2022,115.76
8/8/2022,114.35
8/9/2022,115.38
8/10/2022,118.39
8/11/2022,120.14
8/12/2022,122.13
8/15/2022,122.46
8/16/2022,123.63
8/17/2022,122.59
8/18/2022,121.64
8/19/2022,118.63
8/22/2022,116.67
8/23/2022,115.52
8/24/2022,115.8
8/25/2022,118.55
8/26/2022,114.67
8/29/2022,114.39
8/30/2022,114.41
8/31/2022,113.73
9/1/2022,114.51
9/2/2022,113.71
9/6/2022,113.74
9/7/2022,115.9
9/8/2022,118.6
9/9/2022,119.17
9/12/2022,120.58
9/13/2022,116.39
9/14/2022,116.12
9/15/2022,117.87
9/16/2022,117.08
9/19/2022,118.16
9/20/2022,115.83
9/21/2022,112.49
9/22/2022,111.21
9/23/2022,109.14
9/26/2022,106.79
9/27/2022,105.85
9/28/2022,107.99
9/29/2022,106.16
9/30/2022,104.5
10/3/2022,107.73
10/4/2022,112.77
10/5/2022,110.39
10/6/2022,108.14
10/7/2022,105.98
10/10/2022,104.99
10/11/2022,101.96
10/12/2022,103.61
10/13/2022,109.37
10/14/2022,111.19
10/17/2022,115.86
10/18/2022,118.84
10/19/2022,116.51
10/20/2022,116.13
10/21/2022,122.23
10/24/2022,122.38
10/25/2022,122.7
10/26/2022,124.11
10/27/2022,124.6
10/28/2022,126.08
10/31/2022,125.88
11/1/2022,128.15
11/2/2022,126.97
11/3/2022,127.2
11/4/2022,130.68
11/7/2022,131.37
11/8/2022,131.45
11/9/2022,129.74
11/10/2022,135.08
11/11/2022,135.3
11/14/2022,133.91
11/15/2022,132.94
11/16/2022,133.12
11/17/2022,132.54
11/18/2022,133.84
11/21/2022,133.05
11/22/2022,135.04
11/23/2022,136.48
11/25/2022,136.74
11/28/2022,134.35
11/29/2022,136.56
11/30/2022,138.18
12/1/2022,136.24
12/2/2022,135.16
12/5/2022,131.37
12/6/2022,131.59
12/7/2022,131.5
12/8/2022,132.88
12/9/2022,132.16
12/12/2022,134.21
12/13/2022,134.08
12/14/2022,133.41
12/15/2022,130.1
12/16/2022,129.29
12/19/2022,130.06
12/20/2022,130.69
12/21/2022,132.16
12/22/2022,130.66
12/23/2022,131.28
12/27/2022,131.74
12/28/2022,132.46
12/29/2022,133.22
12/30/2022,134.1
1/3/2023,135.12
1/4/2023,136.38
1/5/2023,135.35
1/6/2023,137.94
1/9/2023,137.37
1/10/2023,138.6
1/11/2023,139.63
1/12/2023,139.49
1/13/2023,143.01
1/17/2023,140.8
1/18/2023,136.57
1/19/2023,134.75
1/20/2023,135.08
1/23/2023,137.27
1/24/2023,138.45
1/25/2023,139.12
1/26/2023,139.98
1/27/2023,140.32
1/30/2023,139.13
1/31/2023,139.96
2/1/2023,139.59
2/2/2023,138.94
2/3/2023,141.09
2/6/2023,141.92
2/7/2023,143.65
2/8/2023,142.64
2/9/2023,140.42
2/10/2023,141.04
2/13/2023,142.57
2/14/2023,143.2
2/15/2023,143.8
2/16/2023,141.82
2/17/2023,142.24
2/21/2023,139.63
2/22/2023,138.56
2/23/2023,139.67
2/24/2023,140.93
2/27/2023,142.16
2/28/2023,143.35
3/1/2023,142.55
3/2/2023,141.07
3/3/2023,143.66
3/6/2023,142.82
3/7/2023,138.62
3/8/2023,137.8
3/9/2023,130.34
3/10/2023,133.65
3/13/2023,131.25
3/14/2023,134.62
3/15/2023,128.26
3/16/2023,130.75
3/17/2023,125.81
3/20/2023,127.14
3/21/2023,130.55
3/22/2023,127.18
3/23/2023,126.84
3/24/2023,124.91
3/27/2023,128.49
3/28/2023,128.88
3/29/2023,129.14
3/30/2023,128.75
3/31/2023,130.31
4/3/2023,130.16
4/4/2023,128.42
4/5/2023,127.61
4/6/2023,127.47
4/10/2023,127.89
4/11/2023,128.52
4/12/2023,128.5
4/13/2023,128.99
4/14/2023,138.73
4/17/2023,139.83
4/18/2023,141.4
4/19/2023,141.22
4/20/2023,140.81
4/21/2023,140.54
4/24/2023,140.73
4/25/2023,137.67
4/26/2023,135.23
4/27/2023,137.05
4/28/2023,138.24
5/1/2023,141.2
5/2/2023,138.92
5/3/2023,135.98
5/4/2023,134.12
5/5/2023,136.74
5/8/2023,137.07
5/9/2023,136.41
5/10/2023,136.48
5/11/2023,136.05
5/12/2023,134.1
5/15/2023,135.23
5/16/2023,134.32
5/17/2023,138.45
5/18/2023,139.5
5/19/2023,139.18
5/22/2023,138.03
5/23/2023,136.59
5/24/2023,135.34
5/25/2023,135.67
5/26/2023,136.94
5/30/2023,137.46
5/31/2023,135.71
6/1/2023,137.58
6/2/2023,140.47
6/5/2023,139.09
6/6/2023,139.34
6/7/2023,140.69
6/8/2023,140.73
6/9/2023,141.01
6/12/2023,141
6/13/2023,142.02
6/14/2023,141.49
6/15/2023,143.09
6/16/2023,143.26
6/20/2023,142.53
6/21/2023,142.32
6/22/2023,139.58
6/23/2023,138.85
6/26/2023,139.19
6/27/2023,139.2
6/28/2023,138.59
6/29/2023,143.43
6/30/2023,145.44
7/3/2023,146.61
7/5/2023,144.64
7/6/2023,143.21
7/7/2023,144.34
7/10/2023,145.15
7/11/2023,147.42
7/12/2023,148.15
7/13/2023,148.87
