Date,Close
7/13/2022,290.15
7/14/2022,281.59
7/15/2022,293.87
7/18/2022,301.26
7/19/2022,318.05
7/20/2022,321.45
7/21/2022,326.54
7/22/2022,323.93
7/25/2022,324.12
7/26/2022,318.55
7/27/2022,324.54
7/28/2022,329.11
7/29/2022,333.39
8/1/2022,332.08
8/2/2022,327.88
8/3/2022,333.17
8/4/2022,331.87
8/5/2022,334.67
8/8/2022,334.68
8/9/2022,336.62
8/10/2022,347.91
8/11/2022,351.68
8/12/2022,353.82
8/15/2022,355.85
8/16/2022,354.97
8/17/2022,353.74
8/18/2022,354.52
8/19/2022,349.27
8/22/2022,342.42
8/23/2022,340.18
8/24/2022,341.94
8/25/2022,346.49
8/26/2022,336.4
8/29/2022,333.92
8/30/2022,333.63
8/31/2022,332.67
9/1/2022,333.5
9/2/2022,331.48
9/6/2022,326.49
9/7/2022,330.56
9/8/2022,335.38
9/9/2022,340.1
9/12/2022,342.58
9/13/2022,328.39
9/14/2022,327.26
9/15/2022,331.62
9/16/2022,326.21
9/19/2022,328.66
9/20/2022,323.26
9/21/2022,320.71
9/22/2022,312.92
9/23/2022,301.97
9/26/2022,294.62
9/27/2022,291.38
9/28/2022,300.79
9/29/2022,296.11
9/30/2022,293.05
10/3/2022,299.15
10/4/2022,314.87
10/5/2022,309
10/6/2022,304.67
10/7/2022,301.08
10/10/2022,300.54
10/11/2022,294.21
10/12/2022,295.31
10/13/2022,307.07
10/14/2022,299.99
10/17/2022,306.71
10/18/2022,313.85
10/19/2022,311.76
10/20/2022,310.81
10/21/2022,325.1
10/24/2022,328.7
10/25/2022,332.4
10/26/2022,335.69
10/27/2022,337.18
10/28/2022,341.82
10/31/2022,344.51
11/1/2022,348.58
11/2/2022,349.79
11/3/2022,348.87
11/4/2022,357.91
11/7/2022,362.56
11/8/2022,364.02
11/9/2022,362
11/10/2022,378.31
11/11/2022,385.17
11/14/2022,382.36
11/15/2022,382.88
11/16/2022,382.33
11/17/2022,379.78
11/18/2022,379.2
11/21/2022,380.21
11/22/2022,383.87
11/23/2022,386.25
11/25/2022,388.86
11/28/2022,382.36
11/29/2022,383.71
11/30/2022,386.15
12/1/2022,383.81
12/2/2022,380.58
12/5/2022,371.54
12/6/2022,362.91
12/7/2022,359.92
12/8/2022,358.08
12/9/2022,359.14
12/12/2022,363.18
12/13/2022,368.69
12/14/2022,360.38
12/15/2022,349.83
12/16/2022,346.35
12/19/2022,344.61
12/20/2022,344.49
12/21/2022,350.16
12/22/2022,345.58
12/23/2022,345.51
12/27/2022,341.97
12/28/2022,340.87
12/29/2022,343.43
12/30/2022,343.38
1/3/2023,346.22
1/4/2023,347.7
1/5/2023,343.76
1/6/2023,348.08
1/9/2023,353
1/10/2023,357.36
1/11/2023,364.48
1/12/2023,369.94
1/13/2023,374
1/17/2023,349.92
1/18/2023,349.09
1/19/2023,350.75
1/20/2023,341.84
1/23/2023,349.14
1/24/2023,348.33
1/25/2023,349.63
1/26/2023,354.97
1/27/2023,353.7
1/30/2023,357.46
1/31/2023,365.81
2/1/2023,365.71
2/2/2023,369.47
2/3/2023,369.95
2/6/2023,370.8
2/7/2023,374.4
2/8/2023,375.1
2/9/2023,367.99
2/10/2023,371.28
2/13/2023,374.02
2/14/2023,371.78
2/15/2023,374.34
2/16/2023,370.2
2/17/2023,368.5
2/21/2023,361.12
2/22/2023,360.89
2/23/2023,363.54
2/24/2023,363.85
2/27/2023,365.53
2/28/2023,351.65
3/1/2023,346.23
3/2/2023,349.1
3/3/2023,357.09
3/6/2023,357.05
3/7/2023,346.08
3/8/2023,349.29
3/9/2023,342.09
3/10/2023,327.67
3/13/2023,315.51
3/14/2023,322.15
3/15/2023,312.19
3/16/2023,315.09
3/17/2023,303.54
3/20/2023,309.53
3/21/2023,317.28
3/22/2023,313.67
3/23/2023,314.85
3/24/2023,312.57
3/27/2023,318.53
3/28/2023,318.44
3/29/2023,320.72
3/30/2023,321.14
3/31/2023,327.11
4/3/2023,326.52
4/4/2023,322.65
4/5/2023,321.53
4/6/2023,322.4
4/10/2023,324.96
4/11/2023,327.37
4/12/2023,330.24
4/13/2023,332.13
4/14/2023,336.92
4/17/2023,339.68
4/18/2023,333.91
4/19/2023,336.89
4/20/2023,338.71
4/21/2023,341.66
4/24/2023,343.96
4/25/2023,339.48
4/26/2023,336.56
4/27/2023,341.6
4/28/2023,343.44
5/1/2023,340.57
5/2/2023,333.37
5/3/2023,328.65
5/4/2023,321.26
5/5/2023,327.02
5/8/2023,326.51
5/9/2023,324.77
5/10/2023,322.55
5/11/2023,320.72
5/12/2023,319.5
5/15/2023,322.07
5/16/2023,320.81
5/17/2023,330.18
5/18/2023,329.58
5/19/2023,326.15
5/22/2023,324.92
5/23/2023,323.57
5/24/2023,319.81
5/25/2023,323.88
5/26/2023,332.01
5/30/2023,330.83
5/31/2023,323.9
6/1/2023,316.4
6/2/2023,323.65
6/5/2023,321.81
6/6/2023,326.8
6/7/2023,335.75
6/8/2023,335.47
6/9/2023,336.02
6/12/2023,339.49
6/13/2023,342.5
6/14/2023,338.42
6/15/2023,339.74
6/16/2023,338.31
6/20/2023,330.72
6/21/2023,325.07
6/22/2023,319.58
6/23/2023,314.71
6/26/2023,312.36
6/27/2023,313.45
6/28/2023,313.66
6/29/2023,323.09
6/30/2023,322.54
7/3/2023,326.61
7/5/2023,320.05
7/6/2023,313
7/7/2023,315.17
7/10/2023,316.47
7/11/2023,320.88
7/12/2023,326.4
7/13/2023,328.68
